amenity,lat,lon,name,category,amnt_id
bank,49.22612,-123.090935,State Bank of India,Business,707
bank,49.226624,-123.09091,BMO,Business,708
bank,49.226902,-123.09091,HSBC,Business,709
restaurant,49.227688,-123.09049,Deer Garden Signatures,Food,710
restaurant,49.227962,-123.09049,Ho Yuen Kee Restaurant,Food,711
restaurant,49.229275,-123.09048,Dockers Family Restaurant,Food,712
ice_cream,49.24075,-123.10168,Innocent Ice Cream,Food,713
restaurant,49.241188,-123.101654,Sushi Hub,Food,714
restaurant,49.243412,-123.10119,Pho Tan Restaurant,Food,715
restaurant,49.244602,-123.101105,King's Chinese Cuisine,Food,716
restaurant,49.245865,-123.10144,Dream Sushi,Food,717
restaurant,49.257008,-123.114815,Nabebugyo Hot Pot Cuisine,Food,718
cafe,49.25052,-123.07645,Falafel Cafe,Food,719
restaurant,49.250736,-123.07682,Sun Bo Kong Vegetarian Restaurant,Food,720
restaurant,49.251183,-123.07843,Grace of India,Food,721
fast_food,49.251064,-123.07868,Domino's,Food,722
restaurant,49.25118,-123.07892,Hai Phong Vietnamese Restaurant,Food,723
restaurant,49.25165,-123.07962,Hoy's Wonton House,Food,724
cafe,49.254284,-123.08503,BT Cafe,Food,725
restaurant,49.25739,-123.09091,Osteria Savio Volpe,Food,726
restaurant,49.257427,-123.09107,Los Cuervos Taqueria & Cantina,Food,727
restaurant,49.257267,-123.08988,The Lion's Den Cafe,Food,728
cafe,49.257286,-123.09013,Matchstick Coffee Roasters,Food,729
library,49.23329,-123.15613,Vancouver Public Library Kerrisdale Branch,Leisure,730
cafe,49.21051,-123.1069,Starbucks,Food,731
restaurant,49.286667,-123.11834,JOEY Bentall One,Food,732
restaurant,49.245747,-123.066025,Viva Sushi Bar,Food,733
restaurant,49.24732,-123.06944,Jarrito Loco Tacos,Food,734
restaurant,49.247276,-123.069336,My Chau Restaurant,Food,735
restaurant,49.249367,-123.07635,J.R Taste Of Ceylon,Food,736
restaurant,49.249653,-123.07633,Knight Street Cafe,Food,737
restaurant,49.249317,-123.07363,Pink Peppercorn Seafood House,Food,738
restaurant,49.249397,-123.07392,Icy Bar,Food,739
fast_food,49.231434,-123.03164,Panago Pizza,Food,740
cafe,49.28056,-123.116905,Cafe Medina,Food,741
bar,49.279057,-123.12303,The Belmont,Nightlife,742
cafe,49.28094,-123.12691,Beyond Coffee,Food,743
fast_food,49.278908,-123.12218,Uncle Fatih's Pizza,Food,744
restaurant,49.28102,-123.118996,Meat & Bread,Food,745
fast_food,49.28055,-123.12137,McDonald's,Food,746
restaurant,49.280964,-123.11892,Aladdin Cafe,Food,747
fast_food,49.28109,-123.119095,Five Guys,Food,748
restaurant,49.26163,-123.07002,Commercial Sushi,Food,749
restaurant,49.280067,-123.10853,Pizzeria Ludica,Food,750
restaurant,49.279625,-123.108604,Hai Phong,Food,751
restaurant,49.280895,-123.10784,Tsuki Sushi Bar,Food,752
fast_food,49.261684,-123.07003,Subway,Food,753
cafe,49.26256,-123.06953,Blenz Coffee,Food,754
cafe,49.28003,-123.10866,Brothers,Food,755
restaurant,49.28079,-123.107834,Taishoken,Food,756
cafe,49.280582,-123.10283,Musette Caffè,Food,757
fast_food,49.28315,-123.11542,A&W,Food,758
restaurant,49.281075,-123.11858,Ryuu,Food,759
car_rental,49.281414,-123.11612,Pacific Car Rentals,Transportation,760
cafe,49.282047,-123.118484,Starbucks,Food,761
nightclub,49.27729,-123.125725,Aura,Nightlife,762
cafe,49.28278,-123.111664,Finch's,Food,763
