id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights
1103566,"Modern, Heart of Downtown-3 BR+2Bath+Office+Pkg",Downtown,49.27865,-123.10722,Entire home/apt,349.0,3
1109821,136 Lord Stanley Great price!,West End,49.29193,-123.1364,Entire home/apt,55.0,30
1113551,Family-Friendly Kitsilano House with Mountain Views,Kitsilano,49.26056,-123.15874,Entire home/apt,480.0,6
1118858,*Best choice in downtown-5 Stars *,West End,49.28115,-123.13038,Private room,96.0,30
1126273,Yaletown/Downtown  1 Bedroom Condo,Downtown,49.28061,-123.11874,Entire home/apt,99.0,30
1141457,2 Bdrm in Strathcona,Downtown Eastside,49.27954,-123.08689,Entire home/apt,110.0,3
1156898,seasonal suite with private bathroom in Vancouver,Victoria-Fraserview,49.2283,-123.07126,Private room,36.0,3
1162198,Bright & Tidy Character Apartment,Grandview-Woodland,49.27186,-123.06996,Private room,49.0,30
1178149,Cozy space in East Vancouver,Hastings-Sunrise,49.27128,-123.04797,Entire home/apt,80.0,2
1191143,Beautiful Kitsilano Character home. Great Location,Kitsilano,49.26856,-123.17419,Entire home/apt,349.0,4
1216428,"Garden Paradise, by Olympic Village",Mount Pleasant,49.26538,-123.09059,Private room,75.0,3
1229714,Luxury apartment Downtown Vancouver,Downtown,49.28429,-123.1157,Entire home/apt,561.0,2
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,Downtown,49.2858,-123.11767,Private room,151.0,1
1281095,New and Cozy Flat in the Heart of Mount Pleasant,Mount Pleasant,49.26461,-123.09213,Entire home/apt,180.0,3
1301861,Martine's lodging East Village,Hastings-Sunrise,49.28535,-123.05528,Private room,49.0,7
1343411,Close to Anywhere: Location Location Location,Strathcona,49.27634,-123.09831,Entire home/apt,99.0,1
1343519,*Best choice in downtown-5 Stars*,West End,49.28073,-123.13043,Private room,51.0,30
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,Downtown,49.27824,-123.12882,Entire home/apt,155.0,3
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,West Point Grey,49.25864,-123.19965,Entire home/apt,110.0,1
1380472,downtown furnished one bedroom den city view,Downtown,49.28147,-123.12493,Entire home/apt,225.0,30
1387803,Martine's Lodging East Village 2,Hastings-Sunrise,49.2844,-123.0538,Private room,49.0,7
1397291,Bright bedroom in shared condo,Downtown,49.27971,-123.11962,Private room,60.0,4
1417881,Renovated Character Home - 3 Bdrm,Grandview-Woodland,49.26732,-123.06827,Entire home/apt,399.0,30
1418910,Private Room - Commercial Drive,Grandview-Woodland,49.26583,-123.06897,Private room,89.0,4
1422750,Furnished bedroom in spacious home,Killarney,49.21288,-123.02664,Private room,69.0,3
1479325,High-end Luxury in the West End,West End,49.27992,-123.13403,Entire home/apt,120.0,30
1494659,Room in Leafy East Vancouver,Grandview-Woodland,49.2753,-123.06408,Private room,90.0,2
1507975,Modern new room with private entry!,Riley Park,49.24654,-123.0927,Private room,61.0,2
1520500,Spacious Loft Style Apartment,Kitsilano,49.26891,-123.14806,Entire home/apt,130.0,5
1525113,"\"114 Studio \"\"West of Denman\"\"\"",West End,49.29184,-123.13893,Entire home/apt,50.0,30
1530460,Funky Room On Vancouver's Hip East,Kensington-Cedar Cottage,49.25501,-123.07953,Private room,34.0,30
1565861,Deluxe Kitsilano Beach Waterfront 2 Bedroom House,Kitsilano,49.27334,-123.15193,Entire home/apt,449.0,5
1610084,Lakeside Cottage with Stunning View,Kensington-Cedar Cottage,49.25735,-123.06257,Entire home/apt,109.0,2
1614025,Downtown 1bdrm with amazing views!,Downtown,49.27967,-123.1262,Entire home/apt,110.0,30
1620084,Bright private suite around SoMain,Kensington-Cedar Cottage,49.23896,-123.08303,Entire home/apt,61.0,28
1623556,Private Top Floor in vibrant Main St area,Riley Park,49.25197,-123.0951,Private room,85.0,1
1629426,In the heart of the city,Downtown,49.27491,-123.12239,Entire home/apt,59.0,30
1629480,Garden Suite-Quiet/Private&Central,Riley Park,49.25106,-123.1077,Entire home/apt,94.0,30
1678734,"Bright, Modern Space on Beautiful Park",Kensington-Cedar Cottage,49.2531,-123.06486,Entire home/apt,125.0,3
1684313,Cozy Modern Garden Suite,Hastings-Sunrise,49.28628,-123.04446,Entire home/apt,130.0,2
1714639,Your Home Away from Home 1 BR Suite,Oakridge,49.22746,-123.11047,Entire home/apt,79.0,1
1717967,2 Bedroom Garden Flat - Main Street,Riley Park,49.24822,-123.09823,Entire home/apt,120.0,2
1718688,Funky 1BD apt in trendy Kitsilano!,Kitsilano,49.26642,-123.16156,Entire home/apt,100.0,2
1736349,Master bedroom + private bathroom + secure parking,Kensington-Cedar Cottage,49.25199,-123.07803,Private room,103.0,4
1759915,Clean & Cozy private room in Heart of Downtown,Downtown,49.27811,-123.11052,Private room,65.0,1
1768817,SoMa Suite - Main Street Cool,Riley Park,49.2442,-123.10476,Entire home/apt,149.0,30
1773753,Modern Apartment in Mount Pleasant,Mount Pleasant,49.26502,-123.10012,Entire home/apt,149.0,3
1820919,Film Industry loves this house! 5 min to VGH,Mount Pleasant,49.26014,-123.11314,Entire home/apt,239.0,2
1830733,Cozy Retreat - Strathcona,Downtown Eastside,49.27788,-123.08588,Entire home/apt,116.0,2
1850984,Main Street loft w/ rooftop patio and view!,Mount Pleasant,49.26595,-123.09609,Entire home/apt,250.0,7
1869071,156 One Bedroom in Downtown at The Electra,Downtown,49.28094,-123.12507,Entire home/apt,85.0,30
1937134,Garden - Character House,Mount Pleasant,49.2626,-123.08415,Entire home/apt,55.0,30
1937255,Garden Suite off Commercial Drive!,Grandview-Woodland,49.27764,-123.06642,Entire home/apt,125.0,2
1950844,Stylish and Modern 2Bed West End Suite!,West End,49.28888,-123.13705,Entire home/apt,350.0,2
1961440,Yaletown 1 Br Condo Monthly Only,Downtown,49.2742,-123.12707,Entire home/apt,141.0,30
1962443,1 Bedroom in Kits Point beach house,Kitsilano,49.27773,-123.14733,Private room,49.0,3
1970354,Family friendly & centrally located,Kerrisdale,49.22645,-123.14123,Entire home/apt,132.0,2
1995592,"\"Charming \"\"Kitsilano Family Place\"\"\"",Kitsilano,49.26278,-123.16448,Private room,110.0,2
2003571,Beautiful 2-Level midtown Cambie Village Penthouse,South Cambie,49.2565,-123.11869,Entire home/apt,176.0,30
2008047,Amazing View from a Modern Loft,Strathcona,49.28512,-123.09759,Entire home/apt,160.0,30
2011559,Sunny family-friendly house in Kits,Kitsilano,49.25974,-123.15907,Entire home/apt,494.0,5
2017305,Experience Vancouver on the Drive!,Grandview-Woodland,49.26346,-123.06787,Entire home/apt,120.0,30
2033952,Beautiful Kitsilano,Kitsilano,49.26726,-123.15398,Entire home/apt,70.0,3
2041582,"Kitsilano Point, VERY CLEAN, welcoming and bright",Kitsilano,49.2753,-123.14721,Entire home/apt,349.0,9
2042431,Yaletown 1BD Condo @ Homer & Robson,Downtown,49.27816,-123.11829,Entire home/apt,135.0,30
2056676,Cozy Modern apartment in Yaletown,Downtown,49.27376,-123.11639,Entire home/apt,117.0,30
2076269,Cozy Room On Hip East Side,Kensington-Cedar Cottage,49.25612,-123.08068,Private room,32.0,30
2092610,A spacious modern apartment,Mount Pleasant,49.26664,-123.09555,Entire home/apt,129.0,30
2163742,Garden Patio condo near Downtown transit central,Grandview-Woodland,49.26316,-123.07424,Private room,49.0,2
2183209,Kitsilano PENTHOUSE,Kitsilano,49.26635,-123.15759,Entire home/apt,210.0,5
2188113,5 star Luxury ShangriLa hotel condo,West End,49.28503,-123.12318,Entire home/apt,200.0,29
2188457,"Close to everything - modern, comfy, clean, views",Downtown,49.27989,-123.10923,Private room,79.0,2
2216062,Bright Kitsilano Garden Apartment,Kitsilano,49.27043,-123.18425,Entire home/apt,84.0,28
2273714,Charming Apartment just off Commercial Drive,Grandview-Woodland,49.27224,-123.06931,Entire home/apt,200.0,2
2278806,NEWLY RENOVATED PRIVATE ROOM AT QUIET AREA,Victoria-Fraserview,49.2255,-123.05524,Private room,49.0,30
2282114,The Perfect Place For Your Next Family Vacation,Dunbar Southlands,49.23933,-123.18119,Entire home/apt,449.0,10
2285007,"2br Gastown Condo w/ Hot Tub, Sauna & Free Parking",Downtown,49.27884,-123.10686,Entire home/apt,375.0,3
2299515,Yaletown Fully Furnished 17th Floor Condo,Downtown,49.27917,-123.12402,Entire home/apt,70.0,30
2365994,Gem Modern Apartment in Yaletown,Downtown,49.28267,-123.12316,Entire home/apt,95.0,30
2400461,Lakeside Modern Architectural Home,Kensington-Cedar Cottage,49.25958,-123.06555,Entire home/apt,276.0,30
2446828,Big Orange House,Mount Pleasant,49.25866,-123.09149,Entire home/apt,149.0,2
2454353,Vancouver Quality Coach House,Kensington-Cedar Cottage,49.23777,-123.08696,Entire home/apt,125.0,30
2460888,The Perfect Cozy 1 BD Getaway,Downtown,49.27766,-123.10856,Entire home/apt,245.0,4
2466134,Luxury Downtown Apartment,Downtown,49.28112,-123.11665,Entire home/apt,242.0,30
2468591,Monthly- Marinaside Ocean View Apartment -Yaletown,Downtown,49.27426,-123.11788,Entire home/apt,286.0,30
2496467,Private Room & Bath in Beautiful Kitsilano Home,Arbutus Ridge,49.25645,-123.15927,Private room,75.0,14
2502137,New Edwardian home,Mount Pleasant,49.2584,-123.08486,Entire home/apt,75.0,30
2570965,"Total Privacy & Separate Entry in a Clean, Curated Space",Dunbar Southlands,49.239,-123.18096,Entire home/apt,75.0,2
2592307,Ann's Place,South Cambie,49.25027,-123.11721,Entire home/apt,113.0,2
2592516,3BR Family Home in Commercial Drive (Phone number hidden by Airbnb),Grandview-Woodland,49.26899,-123.06689,Entire home/apt,294.0,7
2632171,Yvette's place 3,Hastings-Sunrise,49.28826,-123.04095,Private room,49.0,1
2637519,Heritage Splendor Commercial Drive,Grandview-Woodland,49.2718,-123.06826,Entire home/apt,349.0,3
2644110,Modern 2 Level Loft in East Van,Grandview-Woodland,49.28402,-123.0657,Entire home/apt,110.0,6
2653578,LOCATION!!! RENOVATED!!! SLEEPS 2-4!!,Downtown,49.27847,-123.12307,Entire home/apt,169.0,1
2658803,"\"266  -2 bedroom /sleeps 4 \"\"The Electra\"\" Downtown\"",Downtown,49.28089,-123.12511,Entire home/apt,109.0,30
2669445,Laneway Home with a view,West Point Grey,49.27102,-123.20978,Entire home/apt,79.0,30
2675179,Stroll to Granville Island from a Modern Kitsilano House,Kitsilano,49.27331,-123.15198,Entire home/apt,400.0,5
2709965,"Lakeside Manor, Room with a View!",Kensington-Cedar Cottage,49.25722,-123.06636,Private room,75.0,1
2714618,Gastown/Chinatown/DowntownVancouver,Downtown,49.28054,-123.1086,Entire home/apt,299.0,2
2722632,Upscale Garden Suite Close to UBC,Dunbar Southlands,49.23186,-123.1888,Entire home/apt,120.0,7
2728122,"1 bedroom modern furnishing, cozy, & the view!",Kitsilano,49.27011,-123.1503,Entire home/apt,99.0,3
2730555,Explore Vancouver in a Beautiful Trendy Townhouse,Mount Pleasant,49.26536,-123.09943,Entire home/apt,250.0,3
2731203,"Cozy & quiet, eclectic & quaint.",West End,49.28392,-123.13297,Entire home/apt,269.0,30
2809322,Perfect Yaletown condo,Downtown,49.2763,-123.12175,Entire home/apt,183.0,30
2811792,"Spacious Private Room,King Size Bed",Fairview,49.26458,-123.12327,Private room,85.0,2
2812038,Vancouver 2 bd trendy Main street,Mount Pleasant,49.25659,-123.09855,Entire home/apt,169.0,1
2831468,Modern 1BR Suite In a Fantastic Location,South Cambie,49.25219,-123.11736,Entire home/apt,96.0,4
2847310,Unique Loft in the Heart of Gastown,Downtown Eastside,49.28247,-123.10342,Entire home/apt,225.0,2
2889958,"Private, Modern, 1 bed, 1 bath, and kitchen",West Point Grey,49.25893,-123.19798,Entire home/apt,130.0,3
2903990,Bright & Cozy Main Street Bungalow,Sunset,49.22742,-123.09817,Entire home/apt,225.0,3
2917168,The Stained Glass Room,Kensington-Cedar Cottage,49.25712,-123.066,Private room,80.0,1
2944104,Luxury Modern Apartment at Yaletown,Downtown,49.2761,-123.11707,Entire home/apt,104.0,30
2958786,Funky Downtown Room in the West End,West End,49.29265,-123.13533,Private room,90.0,2
2977617,Bright Studio in Gastown w/ parking,Downtown Eastside,49.28125,-123.10713,Entire home/apt,159.0,30
2985232,Luxury Point Grey Home,West Point Grey,49.26358,-123.1913,Entire home/apt,225.0,7
2988465,116 1 Bedrm + Office,West End,49.28791,-123.12749,Entire home/apt,84.0,30
2997479,Mountain view Garden suite,Kensington-Cedar Cottage,49.24168,-123.08931,Entire home/apt,108.0,14
2997664,117 DOWNTOWN LIVING / 1 Bdrm W Georgia St,West End,49.28641,-123.12458,Entire home/apt,109.0,30
3051470,Crosstown Master Bedroom Downtown Vancouver,Downtown,49.27959,-123.10851,Private room,98.0,1
3100878,STYLISH SUITE w/ Pool/Sauna/Hottub/Gym EXCELLENT $,Downtown,49.27764,-123.12384,Entire home/apt,115.0,30
3130486,Beautiful Mount Pleasant Loft,Mount Pleasant,49.26583,-123.09711,Entire home/apt,149.0,2
3138351,Deluxe Minimalist Double Bedroom,Renfrew-Collingwood,49.24208,-123.03667,Private room,39.0,14
3158555,1BD Garden Suite in East Village,Hastings-Sunrise,49.27784,-123.05224,Entire home/apt,75.0,2
3168686,Beautiful Loft w/Balcony | New Reno | 2-levels,Downtown Eastside,49.28396,-123.10059,Entire home/apt,288.0,1
3177610,"A Luxurious Downtown Urban Oasis with Parking, Awaits You.",Downtown,49.27761,-123.12128,Entire home/apt,300.0,30
3182985,Close to beach 2 BR,Kitsilano,49.26934,-123.16429,Entire home/apt,249.0,3
3183304,Stylish Minimalist Double Bedroom,Renfrew-Collingwood,49.24204,-123.03688,Private room,34.0,7
3200858,ELECTRIC AVE! Vancouver City Center,Downtown,49.2809,-123.12465,Entire home/apt,85.0,30
3215295,Cozy modern suite near Main St (min stay 30 days),Riley Park,49.25065,-123.1037,Entire home/apt,120.0,30
3217591,154 BEST VALUE IN WEST END! 1 bed apartment,West End,49.28224,-123.13487,Entire home/apt,82.0,30
3230170,153 GREAT PRICE in West End,West End,49.27912,-123.13551,Entire home/apt,89.0,30
3239463,Best Waterfront View in Vancouver! 2Br & Parking,Downtown,49.27513,-123.10173,Entire home/apt,149.0,30
3240635,165 YALETOWN  VIEW / 1 BEDROOM + OFFICE,Downtown,49.27646,-123.11644,Entire home/apt,115.0,30
3241017,Modern Downtown Park View Condo!,Downtown,49.27837,-123.10573,Entire home/apt,143.0,2
3248395,170 1 BED- VIEW SUITE!,Downtown,49.28319,-123.11429,Entire home/apt,109.0,30
3248971,"\"175 Studio at \"\"The Lions\"\"\"",West End,49.28768,-123.12728,Entire home/apt,83.0,30
3249720,Beautiful Basement Suite,Riley Park,49.23667,-123.09152,Entire home/apt,99.0,3
3318945,#208 -Extended Stay Vancouver,Mount Pleasant,49.26416,-123.08633,Entire home/apt,97.0,30
3329579,New- 1 bdr Downtown Vancouver Apt,Downtown,49.2785,-123.1082,Entire home/apt,124.0,30
3331054,studio apartment,Hastings-Sunrise,49.28606,-123.02821,Entire home/apt,72.0,4
3331694,Beach Home in the Sky - Pvt Bedroom & Washroom,West End,49.28604,-123.13988,Private room,175.0,3
3342823,"Kitsilano Condo, 4 Blocks from Beach,Pool,Shopping",Kitsilano,49.26557,-123.15584,Entire home/apt,225.0,2
3379799,Beautiful character Kitsilano home,Kitsilano,49.26035,-123.17967,Entire home/apt,560.0,5
3379810,Great East Van home for Families!,Hastings-Sunrise,49.27433,-123.05202,Entire home/apt,150.0,3
3384075,Private room- Spacious Home,Fairview,49.25751,-123.13207,Private room,110.0,30
3415750,Character Studio.Great DT location.,West End,49.28374,-123.12267,Entire home/apt,125.0,30
3425973,"KITS POINT, Bamboo Garden by the Sea",Kitsilano,49.27536,-123.15071,Entire home/apt,198.0,3
3448674,Cozy and Classy Gastown Loft,Downtown,49.28578,-123.10447,Entire home/apt,121.0,2
3458717,"3 bedrooms, 3.5 bathrooms on 3 levels near beach",Kitsilano,49.2695,-123.16785,Entire home/apt,349.0,1
3479638,EAST View- Steps to 29Ave SKYTRAIN Bright & Clean,Renfrew-Collingwood,49.24522,-123.04798,Private room,39.0,30
3484837,2Br Suite Steps from Commercial Dr!,Grandview-Woodland,49.26858,-123.07005,Entire home/apt,199.0,1
3488510,D48 - 2BR downtown luxury suite,Downtown,49.27829,-123.10813,Entire home/apt,115.0,30
3520384,Cosy Zen Bedroom Nestled in Nature,Killarney,49.2191,-123.02789,Private room,49.0,1
3528309,Kitsilano Beach House,Kitsilano,49.26486,-123.14645,Entire home/apt,185.0,2
3534949,Upstairs in beautiful Pt Grey Vancouver,West Point Grey,49.25921,-123.19964,Private room,106.0,1
3540862,Lovely Room in a Lovely House,Hastings-Sunrise,49.28077,-123.04893,Private room,65.0,1
3563108,Strathcona Eclectic Modern Studio,Downtown Eastside,49.27928,-123.07949,Private room,89.0,2
3594666,* Beautiful + Trendy 2 Bedroom Central Vancouver *,Downtown,49.27855,-123.1182,Entire home/apt,510.0,30
3629071,Private Garden Suite on the Drive,Grandview-Woodland,49.27198,-123.0681,Entire home/apt,90.0,1
